age,job,marital,education,balance,housing,loan,duration,pdays,previous,poutcome,deposit
30,technician,single,secondary,925,no,no,240,-1,0,unknown,no
22,student,single,unknown,1215,no,no,145,192,1,failure,yes
29,student,single,tertiary,163,no,no,249,-1,0,unknown,yes
39,technician,divorced,tertiary,3,no,no,488,-1,0,unknown,yes
47,services,married,unknown,4822,yes,no,154,-1,0,unknown,no
42,technician,divorced,secondary,-106,yes,no,95,-1,0,unknown,no
37,management,married,tertiary,156,no,no,366,-1,0,unknown,yes
51,retired,married,primary,610,no,no,86,-1,0,unknown,no
46,technician,divorced,tertiary,0,yes,no,249,-1,0,unknown,no
39,technician,single,unknown,45248,yes,no,1623,-1,0,unknown,yes
32,blue_collar,married,primary,-94,yes,yes,308,-1,0,unknown,no
37,management,married,tertiary,57,no,no,345,-1,0,unknown,yes
44,self_employed,married,secondary,304,yes,no,15,-1,0,unknown,no
46,blue_collar,married,primary,557,no,no,89,-1,0,unknown,no
49,entrepreneur,single,secondary,5802,no,no,618,-1,0,unknown,yes
36,services,married,secondary,297,yes,yes,157,-1,0,unknown,no
57,blue_collar,married,primary,3109,no,no,107,105,2,success,yes
83,retired,married,primary,425,no,no,883,140,1,failure,yes
45,unknown,married,primary,44,no,no,81,-1,0,unknown,no
30,services,single,secondary,495,yes,no,641,-1,0,unknown,yes
40,services,married,secondary,3164,yes,no,329,-1,0,unknown,no
30,unknown,single,unknown,6929,no,no,341,-1,0,unknown,no
46,self_employed,single,secondary,526,no,no,523,87,2,other,yes
29,management,single,tertiary,499,yes,no,338,-1,0,unknown,no
52,admin,divorced,secondary,48,no,yes,591,-1,0,unknown,no
60,housemaid,divorced,secondary,387,yes,no,235,-1,0,unknown,no
49,blue_collar,married,secondary,3309,yes,no,349,-1,0,unknown,no
44,management,divorced,tertiary,-411,yes,no,432,-1,0,unknown,yes
37,admin,married,secondary,529,yes,no,234,149,2,other,no
39,services,married,secondary,1179,no,no,284,-1,0,unknown,yes
48,technician,married,secondary,-205,yes,yes,112,-1,0,unknown,no
34,services,single,secondary,258,yes,no,131,-1,0,unknown,no
39,blue_collar,married,secondary,0,yes,no,262,-1,0,unknown,no
49,blue_collar,married,secondary,1946,no,no,192,95,1,success,yes
50,entrepreneur,married,secondary,78,no,no,143,-1,0,unknown,no
32,technician,married,secondary,696,yes,no,815,-1,0,unknown,yes
49,management,married,tertiary,1093,yes,yes,243,91,2,success,yes
56,retired,married,tertiary,5769,no,no,15,-1,0,unknown,no
34,technician,single,secondary,194,yes,yes,1015,-1,0,unknown,yes
44,technician,married,primary,755,no,yes,829,-1,0,unknown,yes
27,blue_collar,single,primary,265,yes,no,1119,-1,0,unknown,yes
49,technician,single,secondary,1202,yes,no,122,-1,0,unknown,no
77,retired,married,primary,2590,no,no,112,94,15,success,no
59,blue_collar,married,primary,320,yes,no,695,-1,0,unknown,yes
33,services,married,primary,908,yes,yes,184,-1,0,unknown,no
56,management,married,tertiary,25290,no,no,81,-1,0,unknown,no
33,management,married,tertiary,516,yes,no,245,-1,0,unknown,no
59,entrepreneur,married,secondary,496,no,no,738,183,1,success,yes
27,technician,single,secondary,158,no,no,650,-1,0,unknown,yes
57,management,married,tertiary,2845,yes,no,1143,-1,0,unknown,yes
29,services,single,secondary,37,no,yes,309,-1,0,unknown,no
64,retired,married,unknown,34,no,no,244,-1,0,unknown,yes
27,technician,single,secondary,261,yes,no,236,247,2,failure,no
54,management,married,tertiary,154,no,no,155,-1,0,unknown,no
55,technician,married,secondary,6958,yes,yes,178,-1,0,unknown,no
30,management,married,tertiary,314,no,no,364,175,2,success,no
34,admin,married,tertiary,69,no,yes,120,1,6,success,yes
58,technician,married,unknown,49,yes,no,75,-1,0,unknown,no
25,services,single,secondary,895,yes,no,167,-1,0,unknown,no
32,technician,single,secondary,1279,yes,no,1173,-1,0,unknown,yes
29,student,single,secondary,658,no,no,198,244,4,other,yes
30,management,single,tertiary,156,yes,no,174,-1,0,unknown,no
32,management,single,tertiary,12569,no,no,561,295,2,success,yes
24,technician,single,secondary,598,no,no,762,182,2,success,yes
32,services,married,secondary,315,no,no,149,-1,0,unknown,no
25,technician,married,tertiary,839,yes,no,700,-1,0,unknown,yes
49,technician,married,secondary,1091,no,no,47,-1,0,unknown,no
46,admin,married,secondary,-42,no,yes,181,-1,0,unknown,no
27,management,single,tertiary,1720,no,no,910,224,3,success,yes
37,blue_collar,married,secondary,288,yes,no,159,-1,0,unknown,no
32,blue_collar,single,primary,12198,yes,no,178,-1,0,unknown,yes
46,admin,divorced,secondary,2087,no,no,768,-1,0,unknown,yes
35,services,married,unknown,618,no,no,951,-1,0,unknown,yes
30,admin,single,secondary,313,yes,no,1121,-1,0,unknown,yes
35,blue_collar,married,secondary,260,yes,no,155,-1,0,unknown,no
63,admin,divorced,secondary,4680,no,no,953,-1,0,unknown,yes
50,blue_collar,divorced,primary,388,no,no,701,-1,0,unknown,no
33,blue_collar,married,secondary,19,yes,no,56,271,1,other,no
38,technician,married,secondary,318,no,no,274,182,6,success,yes
42,services,single,unknown,974,no,no,73,-1,0,unknown,no
47,housemaid,married,secondary,3940,yes,no,226,97,2,failure,yes
60,retired,married,secondary,194,no,yes,61,-1,0,unknown,no
32,technician,married,secondary,2556,no,no,269,-1,0,unknown,no
35,blue_collar,single,primary,1147,yes,yes,29,-1,0,unknown,no
57,technician,married,tertiary,-1,no,no,850,-1,0,unknown,yes
39,admin,married,secondary,47,yes,no,143,371,6,failure,no
36,services,single,secondary,760,no,no,9,-1,0,unknown,no
48,blue_collar,married,primary,2227,no,no,98,-1,0,unknown,no
53,retired,married,secondary,303,yes,no,593,-1,0,unknown,no
41,blue_collar,married,secondary,1020,yes,no,276,-1,0,unknown,no
89,retired,married,tertiary,553,no,no,2027,-1,0,unknown,no
33,technician,married,secondary,484,yes,no,205,182,9,success,yes
56,blue_collar,divorced,primary,8,yes,no,157,-1,0,unknown,no
38,services,married,secondary,1313,no,no,33,-1,0,unknown,no
44,entrepreneur,married,tertiary,3463,yes,yes,210,-1,0,unknown,no
26,blue_collar,single,secondary,-29,yes,no,998,-1,0,unknown,yes
28,unemployed,single,primary,1374,no,no,203,-1,0,unknown,yes
50,management,married,tertiary,6739,yes,no,68,-1,0,unknown,no
27,technician,married,secondary,-392,yes,no,228,-1,0,unknown,yes
26,services,married,secondary,77,yes,no,619,340,4,failure,yes
40,blue_collar,single,primary,1780,no,yes,114,-1,0,unknown,no
40,blue_collar,single,unknown,24,yes,no,185,-1,0,unknown,no
34,services,single,secondary,528,yes,no,121,100,5,other,yes
32,services,married,secondary,-34,yes,no,1236,-1,0,unknown,yes
33,services,single,secondary,2881,no,no,289,328,1,success,yes
25,management,married,tertiary,4461,no,no,796,-1,0,unknown,yes
40,technician,divorced,tertiary,4736,yes,no,285,-1,0,unknown,yes
32,technician,divorced,secondary,1097,yes,no,298,-1,0,unknown,no
55,management,married,tertiary,505,yes,no,58,316,1,other,no
49,self_employed,single,tertiary,-341,no,yes,920,-1,0,unknown,no
58,blue_collar,married,secondary,1298,yes,no,516,-1,0,unknown,no
29,technician,single,tertiary,2489,yes,no,355,86,5,failure,yes
25,management,single,tertiary,2140,no,no,81,-1,0,unknown,no
52,blue_collar,married,secondary,2087,yes,no,267,474,1,failure,yes
45,management,divorced,secondary,644,yes,no,418,168,1,success,yes
60,management,married,tertiary,2281,no,no,230,-1,0,unknown,yes
53,technician,married,secondary,4930,no,yes,228,-1,0,unknown,no
33,management,divorced,tertiary,2240,no,no,264,278,1,success,yes
25,services,single,secondary,199,no,no,111,95,3,other,no
47,blue_collar,married,primary,-245,yes,yes,67,-1,0,unknown,no
40,technician,married,secondary,0,yes,yes,105,172,1,failure,no
55,housemaid,married,primary,1537,no,no,359,-1,0,unknown,no
56,management,divorced,tertiary,442,no,no,77,-1,0,unknown,no
34,technician,married,tertiary,3743,yes,no,722,-1,0,unknown,yes
