iter	Logloss
0	0.6884373775
1	0.6835011357
2	0.6795540792
3	0.675565123
4	0.6711880392
5	0.6668748349
6	0.6624719488
7	0.658253583
8	0.654267722
9	0.6502955386
10	0.6461600433
11	0.6422041005
12	0.6382523759
13	0.6344963302
14	0.6310072239
15	0.6272132274
16	0.6236366932
17	0.6199467523
18	0.6166528014
19	0.6137155625
20	0.610953169
21	0.6077749328
22	0.6048672142
23	0.6022866962
24	0.5997744461
25	0.5970567959
26	0.5943968277
27	0.5915724974
28	0.5888926717
29	0.5860431196
30	0.5832935199
31	0.5811684304
32	0.5786210119
33	0.5764723232
34	0.5739981815
35	0.5716472144
36	0.5696537895
37	0.5672775357
38	0.5649160712
39	0.5628070983
40	0.5610264887
41	0.5589910149
42	0.5566850285
43	0.5546346617
44	0.5531990837
45	0.5514014439
46	0.5492624803
47	0.5476002459
48	0.5458057729
49	0.5441509368
