iter	Passed	Remaining
0	4	198
1	7	190
2	11	186
3	15	179
4	19	177
5	23	171
6	27	168
7	31	163
8	35	160
9	39	156
10	43	152
11	46	148
12	50	144
13	54	139
14	57	134
15	61	130
16	64	125
17	68	121
18	71	116
19	75	112
20	79	109
21	82	104
22	85	100
23	88	96
24	91	91
25	95	87
26	98	84
27	102	80
28	105	76
29	108	72
30	111	68
31	114	64
32	118	60
33	121	57
34	125	53
35	128	49
36	131	46
37	134	42
38	138	39
39	142	35
40	145	31
41	148	28
42	151	24
43	155	21
44	159	17
45	163	14
46	167	10
47	171	7
48	174	3
49	178	0
